State_Name,Sum of Production
Kerala,33188382999
Tamil Nadu,4094870479
Andhra Pradesh,3609014224
Uttar Pradesh,1013897205
Assam,603855066
West Bengal,572863059
Maharashtra,387639369
Haryana,329336989
Andaman and Nicobar Islands,293629122
Karnataka,273354008
Goa,237393661
Madhya Pradesh,189037074
Punjab,177269335
Rajasthan,171400224
Gujarat,163117450
Bihar,113188030
Telangana,109399007
Chhattisgarh,92227564
Puducherry,76636883
Odisha,60022493
Uttarakhand,53627065
Himachal Pradesh,12039061
Nagaland,4582089
Jammu and Kashmir,4491198
Meghalaya,4059699
Tripura,3975350
Jharkhand,3416864
Manipur,2181832
Arunachal Pradesh,2181652
Dadra and Nagar Haveli,691973
Sikkim,645375
Mizoram,470436
Chandigarh,29230
